"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"64","Shane Buechele (BUF)","7","14","50.0","88","6.3","0","0","5","1","4","0","0","1","3.9","3.9","0.0%"
"65","Clayton Tune (FA)","7","15","46.7","42","2.8","0","1","5","5","23","0","0","2","3.0","1.5","1.0%"
"66","Teddy Bridgewater (DET)","8","15","53.3","62","4.1","0","0","2","3","4","0","0","4","2.9","0.7","1.0%"
"67","Tyson Bagent (CHI)","3","4","75.0","47","11.8","0","0","0","2","7","0","0","3","2.6","0.9","6.2%"
"68","Joshua Dobbs (FA)","7","10","70.0","65","6.5","0","0","0","10","-5","0","0","4","2.1","0.5","0.9%"
"69","Brandon Allen (FA)","17","30","56.7","72","2.4","0","1","1","0","0","0","0","1","1.9","1.9","0.1%"
"70","Zach Wilson (NO)","6","11","54.5","32","2.9","0","0","0","3","1","0","0","4","1.4","0.4","0.8%"
"71","Anthony Richardson Sr. (IND)","1","2","50.0","9","4.5","0","0","0","4","-1","0","0","2","1.2","0.6","18.7%"
"72","Gardner Minshew II (ARI)","6","13","46.2","37","2.8","0","1","0","6","2","0","0","4","0.7","0.2","4.8%"
"73","Feleipe Franks (CAR)","0","0","0","0","0","0","0","0","2","4","0","0","12","0.4","0.0","0.0%"
"74","Drew Lock (SEA)","2","3","66.7","15","5.0","0","0","0","6","-5","0","0","5","0.1","0.0","1.7%"
"74","Malik Cunningham (DET)","0","0","0","0","0","0","0","0","1","1","0","0","1","0.1","0.1","0.6%"
"76","Sam Howell (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"76","Will Levis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9%"
"76","Graham Mertz (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Stetson Bennett IV (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"80","Bailey Zappe (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"80","Kyle McCord (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"80","DJ Uiagalelei (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Garrett Greene (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Connor Bazelak (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Kurtis Rourke (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"80","Cam Miller (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"80","Jake Haener (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"80","Hendon Hooker (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"80","Carter Bradley (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","John Rhys Plumlee (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Will Howard (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.0%"
"80","Seth Henigan (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Tommy DeVito (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"80","Sean Clifford (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"80","Case Keenum (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"80","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
