"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"81","Antonio Gibson (FA)","25","106","4.2","21","1","1","3","2","6","3.0","0","1","5","21.2","4.2","0.8%"
"82","Ameer Abdullah (FA)","14","60","4.3","14","0","1","17","16","99","6.2","0","1","13","19.9","1.5","0.7%"
"83","Chris Brooks (GB)","27","106","3.9","12","0","0","17","13","91","7.0","0","0","17","19.7","1.2","4.9%"
"84","Jaydon Blue (DAL)","38","129","3.4","27","1","1","1","1","5","5.0","0","0","5","19.4","3.9","17.5%"
"85","George Holani (SEA)","22","73","3.3","9","0","1","2","2","15","7.5","0","1","10","18.8","1.9","38.0%"
"86","Miles Sanders (FA)","20","117","5.9","49","1","1","8","8","30","3.8","0","1","4","18.7","4.7","0.7%"
"87","Jerome Ford (WAS)","24","73","3.0","12","0","0","32","26","103","4.0","0","0","13","17.6","1.4","7.9%"
"88","Raheem Mostert (LV)","22","104","4.7","37","1","0","12","12","70","5.8","0","0","12","17.4","1.5","0.7%"
"89","Raheim Sanders (CLE)","27","92","3.4","14","0","1","4","3","21","7.0","0","0","5","17.3","3.5","1.4%"
"90","Tyler Badie (DEN)","8","23","2.9","7","0","0","31","19","141","7.4","0","0","16","16.4","1.0","1.6%"
"91","Rasheen Ali (BAL)","7","24","3.4","9","0","0","11","9","68","7.6","1","0","15","15.2","1.0","3.5%"
"92","LeQuint Allen Jr. (JAC)","23","94","4.1","12","0","0","11","10","54","5.4","0","0","17","14.8","0.9","19.8%"
"93","Terrell Jennings (NE)","23","73","3.2","11","0","1","1","1","9","9.0","0","0","6","14.2","2.4","0.6%"
"94","Dare Ogunbowale (FA)","11","25","2.3","9","0","1","13","10","76","7.6","0","1","17","14.1","0.8","0.6%"
"95","C.J. Ham (FA)","3","5","1.7","3","0","2","2","2","11","5.5","0","0","11","13.6","1.2","0.6%"
"96","Braelon Allen (NYJ)","18","76","4.2","15","0","1","3","2","17","8.5","0","1","4","13.3","3.3","31.9%"
"97","Kene Nwangwu (NYJ)","13","49","3.8","16","0","0","1","0","0","0","0","0","10","10.9","1.1","0.8%"
"98","Adam Prentice (DEN)","10","44","4.4","18","0","0","8","6","53","8.8","0","0","17","9.7","0.6","1.0%"
"98","Brittain Brown (CHI)","5","37","7.4","22","1","1","1","0","0","0","0","0","2","9.7","4.9","1.6%"
"100","DJ Giddens (IND)","26","96","3.7","12","0","0","2","0","0","0","0","0","9","9.6","1.1","9.1%"
"101","Trayveon Williams (FA)","10","36","3.6","11","0","0","9","8","55","6.9","0","0","7","9.1","1.3","0.0%"
"102","Phil Mafah (DAL)","5","18","3.6","8","0","1","2","2","11","5.5","0","0","1","8.9","8.9","1.9%"
"103","Trevor Etienne (CAR)","20","94","4.7","22","1","0","3","3","13","4.3","0","1","17","8.7","0.5","7.6%"
"104","Najee Harris (LAC)","15","61","4.1","7","0","0","3","3","25","8.3","0","0","3","8.6","2.9","23.5%"
"105","Will Shipley (PHI)","14","49","3.5","20","1","0","12","9","56","6.2","0","1","15","8.5","0.6","4.3%"
"106","Austin Ekeler (FA)","14","43","3.1","6","0","0","7","5","38","7.6","0","0","3","8.1","2.7","9.6%"
"107","Kaleb Johnson (PIT)","28","69","2.5","9","0","0","2","1","9","9.0","0","0","10","7.8","0.8","26.4%"
"107","British Brooks (HOU)","17","78","4.6","20","1","0","0","0","0","0","0","0","13","7.8","0.6","0.1%"
"109","Corey Kiner (ARI)","12","58","4.8","9","0","0","3","2","15","7.5","0","0","4","7.3","1.8","1.0%"
"110","Cam Akers (SEA)","5","19","3.8","14","0","0","1","0","0","0","0","0","4","7.2","1.8","1.0%"
"111","Alec Ingold (LAC)","2","9","4.5","6","0","0","11","8","52","6.5","0","0","17","6.1","0.4","0.7%"
"111","AJ Dillon (CAR)","12","60","5.0","11","0","0","3","3","21","7.0","0","1","7","6.1","0.9","1.3%"
"113","Hassan Haskins (LAC)","17","47","2.8","10","0","0","4","4","13","3.3","0","0","13","6.0","0.5","0.7%"
"114","Ty Chandler (NO)","17","47","2.8","5","0","0","4","3","11","3.7","0","0","3","5.8","1.9","0.7%"
"115","Zamir White (LV)","12","32","2.7","9","0","0","6","4","24","6.0","0","0","5","5.6","1.1","0.9%"
"115","Khalil Herbert (FA)","16","52","3.3","7","0","0","4","1","4","4.0","0","0","5","5.6","1.1","0.6%"
"117","Evan Hull (NO)","19","48","2.5","8","0","0","1","1","6","6.0","0","0","6","5.4","0.9","3.4%"
"117","Tahj Brooks (CIN)","16","45","2.8","7","0","0","2","1","9","9.0","0","0","12","5.4","0.5","4.2%"
"119","Ronnie Rivers (LAR)","9","46","5.1","9","0","0","0","0","0","0","0","0","7","4.6","0.7","1.0%"
"120","Julius Chestnut (TEN)","11","40","3.6","27","1","0","2","0","0","0","0","0","17","4.0","0.2","0.9%"
"120","Nathan Carter (ATL)","9","60","6.7","12","0","0","0","0","0","0","0","1","4","4.0","1.0","0.6%"
"122","Dameon Pierce (PHI)","14","36","2.6","10","0","0","1","0","0","0","0","0","5","3.6","0.7","1.8%"
"123","Tyler Goodson (ATL)","9","24","2.7","6","0","0","3","2","8","4.0","0","0","11","3.2","0.3","1.0%"
"124","Reggie Gilliam (NE)","2","4","2.0","5","0","0","2","2","24","12.0","0","0","17","2.8","0.2","0.1%"
"125","D'Ernest Johnson (FA)","14","25","1.8","5","0","0","0","0","0","0","0","0","6","2.5","0.4","1.0%"
"126","Clyde Edwards-Helaire (FA)","7","13","1.9","7","0","0","2","2","9","4.5","0","0","2","2.2","1.1","0.6%"
"127","DeeJay Dallas (JAC)","3","21","7.0","17","0","0","1","0","0","0","0","0","5","2.1","0.4","0.3%"
"128","Jacardia Wright (SEA)","5","20","4.0","10","0","0","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"129","Roschon Johnson (CHI)","2","17","8.5","11","0","0","0","0","0","0","0","0","6","1.7","0.3","1.0%"
"130","Josh Williams (TB)","4","11","2.8","4","0","0","0","0","0","0","0","0","2","1.1","0.6","0.3%"
"130","Jacob Saylors (DET)","2","11","5.5","9","0","0","0","0","0","0","0","0","11","1.1","0.1","0.8%"
"130","Patrick Ricard (NYG)","1","3","3.0","3","0","0","2","1","8","8.0","0","0","12","1.1","0.1","0.8%"
"133","Amar Johnson (LAC)","2","8","4.0","6","0","0","1","0","0","0","0","0","1","0.8","0.8","0.0%"
"134","Kalel Mullings (TEN)","3","7","2.3","4","0","0","0","0","0","0","0","0","5","0.7","0.1","0.6%"
"134","Dylan Laube (LV)","7","9","1.3","3","0","0","4","3","18","6.0","0","1","17","0.7","0.0","1.1%"
"136","Myles Gaskin (FA)","3","6","2.0","3","0","0","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"136","Owen Wright (TB)","3","6","2.0","4","0","0","0","0","0","0","0","0","3","0.6","0.2","0.0%"
"138","Sione Vaki (DET)","1","4","4.0","4","0","0","0","0","0","0","0","0","8","0.4","0.1","0.6%"
"138","Craig Reynolds (FA)","3","4","1.3","3","0","0","0","0","0","0","0","0","6","0.4","0.1","1.1%"
"140","Kendall Milton (CIN)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"141","Elijah Mitchell (NE)","0","0","0","0","0","0","1","0","0","0","0","0","1","0.0","0.0","0.7%"
"141","Keilan Robinson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"143","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Jashaun Corbin (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"144","Raheem Blackshear (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.6%"
"146","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"147","Trey Sermon (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"148","Deuce Vaughn (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"149","Chris Collier (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"149","Colson Yankoff (WAS)","0","0","0","0","0","0","3","2","18","9.0","0","0","14","0.0","0.0","1.1%"
"151","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Jack Westover (NE)","0","0","0","0","0","0","2","1","0","0.0","0","0","17","0.0","0.0","0.1%"
"152","Jordan James (SF)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","20.2%"
"154","Jordan Waters (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"154","Damien Martinez (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"157","Jordan Mims (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"157","Brady Russell (SEA)","0","0","0","0","0","0","1","0","0","0","0","0","16","0.0","0.0","0.1%"
"157","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","6.5%"
"160","Cody Schrader (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"160","Blake Watson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"160","Michael Wiley (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Carson Steele (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"160","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53.7%"
"160","Lan Larison (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"166","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"167","Ahmani Marshall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Lucas Scott (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Max Hurleman (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","ShunDerrick Powell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Deion Hankins (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"172","Brock Lampe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Kye Robichaux (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"174","Anthony Tyus III (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Montrell Johnson Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"176","Gary Brightwell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"176","Avery Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"178","Pierre Strong Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"179","Eric Gray (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"180","Donovan Edwards (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"181","Sincere McCormick (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"182","Ja'Quinden Jackson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"183","Keaontay Ingram (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"184","MarShawn Lloyd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"185","Ulysses Bentley IV (IND)","1","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"186","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"187","Xazavian Valladay (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"188","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9%"
"189","Scott Matlock (LAC)","0","0","0","0","0","0","4","4","12","3.0","1","0","16","0.0","0.0","4.5%"
"189","Lew Nichols III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","9.8%"
"191","Jabari Small (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Israel Abanikanda (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"191","Jarquez Hunter (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.6%"
"194","Velus Jones Jr. (SEA)","4","32","8.0","25","1","0","0","0","0","0","0","0","6","0.0","0.0","1.6%"
"194","Connor Heyward (LV)","15","43","2.9","29","1","2","4","3","21","7.0","1","0","16","0.0","0.0","0.3%"
"196","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Chase Edmonds (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"209","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Andrew Beck (NYJ)","1","5","5.0","5","0","0","9","6","45","7.5","2","0","17","0.0","0.0","0.2%"
"210","Jakob Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"210","Alexander Mattison (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.6%"
"213","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"214","Jeff Wilson Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"214","Michael Burton (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"216","Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Travis Homer (PIT)","1","-2","-2.0","0","0","0","0","0","0","0","0","0","8","-0.2","0.0","0.6%"
"217","Nyheim Miller-Hines (FA)","2","-2","-1.0","1","0","0","0","0","0","0","0","0","4","-0.2","-0.1","0.0%"
""
""
