"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"162","Cole Turner (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"164","Teagan Quitoriano (ARI)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"164","Cameron Latu (PHI)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","1.2%"
"166","Mark Redman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Zach Davidson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"167","Ko Kieft (TB)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"167","Brayden Willis (SF)","1","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"170","Joel Wilson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Zack Kuntz (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.2%"
"172","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"172","Travis Vokolek (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"172","E.J. Jenkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"172","Brady Russell (SEA)","1","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.1%"
"172","Patrick Murtagh (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"177","Jaheim Bell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"177","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Marcedes Lewis (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.2%"
"189","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"189","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"189","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"189","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","2.5%"
"189","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"189","Nick Vannett (LAR)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"189","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"189","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"198","Carson Towt (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
